id,Type,StatUnmarrieds,City,State,PostalCode,GenderCode,BirthDate,MarriedaritalStatUnmarrieds,EnrolledDate,Living statUnmarrieds
000AF019-C9B5-11e8-A38A-0050568260A3,Individual,Active,Mumbai,MAHARASHTRA,400037,MALE,31-Dec-82,Married,7-Oct-18,couple with children
000AF027-C9B5-11e8-A38A-0050568260A3,Individual,Active,Thane,MAHARASHTRA,421202,MALE,29-Oct-86,Married,7-Oct-18,couple with children
000AF03D-C9B5-11e8-A38A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500038,MALE,26-May-89,Married,7-Oct-18,couple with children
000AF05C-C9B5-11e8-A38A-0050568260A3,Individual,Active,Guntur,ANDHRA PRADESH,522002,MALE,22-Feb-90,Married,7-Oct-18,couple with children
000AF060-C9B5-11e8-A38A-0050568260A3,Individual,Active,Nalgonda,TELANGANA,508001,MALE,31-Aug-99,Married,7-Oct-18,couple with children
000AF067-C9B5-11e8-A38A-0050568260A3,Individual,Active,Guntur,ANDHRA PRADESH,522007,MALE,21-Oct-93,Married,7-Oct-18,couple with children
000AF06D-C9B5-11e8-A38A-0050568260A3,Individual,Active,Vijayawada,ANDHRA PRADESH,520007,MALE,9-Aug-80,Married,7-Oct-18,couple with children
000AF071-C9B5-11e8-A38A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500068,MALE,6-Jul-74,Married,7-Oct-18,couple with children
000AF077-C9B5-11e8-A38A-0050568260A3,Individual,Active,Ahmedabad,GUJARAT,380008,MALE,24-Feb-88,Married,7-Oct-18,couple with children
000AF0E1-C9B5-11e8-A38A-0050568260A3,Individual,Active,Secunderabad,TELANGANA,500016,FEMALE,28-Mar-93,Married,7-Oct-18,couple with children
000AF0E4-C9B5-11e8-A38A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500029,MALE,16-Sep-98,Married,7-Oct-18,couple with children
000AF106-C9B5-11e8-A38A-0050568260A3,Individual,Active,Bengaluru,KARNATAKA,560098,MALE,20-May-54,Married,7-Oct-18,couple with children
000AF14A-C9B5-11e8-A38A-0050568260A3,Individual,Active,Bangalore,KARNATAKA,560100,MALE,2-Feb-72,Married,7-Oct-18,couple with children
000AF15F-C9B5-11e8-A38A-0050568260A3,Individual,Active,Hyderabad,TELANGANA,500008,MALE,2-Jun-69,Married,7-Oct-18,couple with children
000AF192-C9B5-11e8-A38A-0050568260A3,Individual,Active,Secunderabad,TELANGANA,500017,MALE,4-Feb-92,Married,7-Oct-18,couple with children
000AF255-C9B5-11e8-A38A-0050568260A3,Individual,Active,Secunderabad,TELANGANA,500072,FEMALE,2-Mar-87,Married,7-Oct-18,couple with children
000AF297-C9B5-11e8-A38A-0050568260A3,Individual,Active,Sangareddy,TELANGANA,502032,FEMALE,28-Dec-96,Married,7-Oct-18,couple with children
000AF29B-C9B5-11e8-A38A-0050568260A3,Individual,Active,Sangareddy,TELANGANA,502032,MALE,4-Jan-79,Married,7-Oct-18,couple with children
000AF2A8-C9B5-11e8-A38A-0050568260A3,Individual,Active,Ambala,HARYANA,134112,FEMALE,19-Jul-90,Married,7-Oct-18,couple with children
000C3FCB-9228-11e8-B7E6-00505682069A,Individual,Active,Bangalore,KARNATAKA,560032,MALE,3-May-86,Married,28-Jul-18,couple with children
000C3FE4-9228-11e8-B7E6-00505682069A,Individual,Active,Tirupati,ANDHRA PRADESH,517501,MALE,21-Jun-87,Married,28-Jul-18,couple with children
000C4017-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,500056,FEMALE,24-Jun-96,Married,28-Jul-18,couple with children
000C4031-9228-11e8-B7E6-00505682069A,Individual,Active,Peddapalli,TELANGANA,505490,MALE,2-Feb-92,Married,28-Jul-18,couple with children
000C4032-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,501504,MALE,12-Jan-94,Married,28-Jul-18,couple with children
000C406A-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,500056,MALE,21-Mar-88,Married,28-Jul-18,couple with children
000C4093-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,500047,MALE,15-Apr-92,Married,28-Jul-18,couple with children
000C40BB-9228-11e8-B7E6-00505682069A,Individual,Active,Hyderabad,TELANGANA,500059,MALE,9-Jul-84,Married,28-Jul-18,couple with children
000C40E2-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,500087,MALE,10-May-59,Married,28-Jul-18,couple with children
000C4195-9228-11e8-B7E6-00505682069A,Individual,Active,Hyderabad,TELANGANA,500064,FEMALE,28-Feb-94,Married,28-Jul-18,couple with children
000C431F-9228-11e8-B7E6-00505682069A,Individual,Active,Kakinada,ANDHRA PRADESH,533004,MALE,9-Feb-90,Married,28-Jul-18,couple with children
000C437F-9228-11e8-B7E6-00505682069A,Individual,Active,Bangalore,KARNATAKA,560029,MALE,18-Mar-73,Married,28-Jul-18,couple with children
000C444B-9228-11e8-B7E6-00505682069A,Individual,Active,Secunderabad,TELANGANA,500016,MALE,8-Jun-98,Married,28-Jul-18,couple with children
000CA00F-2FA4-11e9-BE84-005056981C55,Individual,Active,Mumbai,MAHARASHTRA,400005,MALE,20-May-68,Married,13-Feb-19,couple with children
000D7602-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500035,MALE,27-Mar-92,Married,7-Dec-18,couple with children
000D7615-FA2B-11e8-9742-005056984FDD,Individual,Active,Secunderabad,TELANGANA,500010,FEMALE,13-Aug-85,Married,7-Dec-18,couple with children
000D7636-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500038,MALE,4-Jun-87,Married,6-Dec-18,couple with children
000D766F-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500052,FEMALE,26-Dec-92,Married,7-Dec-18,couple with children
000D7682-FA2B-11e8-9742-005056984FDD,Individual,Active,Sangareddy,TELANGANA,502032,FEMALE,10-Aug-87,Married,7-Dec-18,couple with children
000D7685-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500089,MALE,14-Jan-84,Married,7-Dec-18,couple with children
000D7686-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500029,FEMALE,29-Mar-88,Married,7-Dec-18,couple with children
000D76D7-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084,MALE,15-Oct-87,Married,7-Dec-18,couple with children
000D7708-FA2B-11e8-9742-005056984FDD,Individual,Active,Secunderabad,TELANGANA,500055,MALE,15-Oct-60,Married,6-Dec-18,couple with children
000D772D-FA2B-11e8-9742-005056984FDD,Individual,Active,Secunderabad,TELANGANA,500017,MALE,27-Jan-84,Married,7-Dec-18,couple with children
000D7742-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500019,FEMALE,25-Oct-64,Married,7-Dec-18,couple with children
000D7769-FA2B-11e8-9742-005056984FDD,Individual,Active,Haveli,MAHARASHTRA,411057,FEMALE,15-Jul-89,Married,7-Dec-18,couple with children
000D783F-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500028,MALE,20-Dec-72,Married,7-Dec-18,couple with children
000D7856-FA2B-11e8-9742-005056984FDD,Individual,Active,Secunderabad,TELANGANA,500017,MALE,12-Jun-69,Married,7-Dec-18,couple with children
000D7905-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500084,MALE,19-Sep-90,Married,7-Dec-18,couple with children
000D792B-FA2B-11e8-9742-005056984FDD,Individual,Active,Hyderabad,TELANGANA,500008,MALE,18-Dec-87,Married,7-Dec-18,couple with children
000D7948-FA2B-11e8-9742-005056984FDD,Individual,Active,Mumbai,MAHARASHTRA,400026,FEMALE,13-Feb-82,Married,7-Dec-18,couple with children
